name,type,eircode,address,lat,lng,email,phone,contact1,contact2,contact3,link,sourceId,,,
Cobh,24hr-Garda,,,51.84824,-8.303642,,(021) 4908530,,,,https://www.garda.ie/garda/en/contact-us/station-directory/cobh.html,,,,24-Jul
Doneraile,Garda,,,52.215706,-8.585414,,(022) 24182,,,,https://www.garda.ie/garda/en/contact-us/station-directory/doneraile.html,,,,
Fermoy,24hr-Garda,,,52.138516,-8.274164,,(025) 82100,,,,https://www.garda.ie/garda/en/contact-us/station-directory/fermoy.html,,,,24-Jul
Glantane,Garda,,,52.104692,-8.748764,,(022) 47154,,,,https://www.garda.ie/garda/en/contact-us/station-directory/glantane.html,,,,
Kanturk,24hr-Garda,,,52.17587,-8.912577,,(029) 20680,,,,https://www.garda.ie/garda/en/contact-us/station-directory/kanturk.html,,,,24-Jul
Kildorrery,Garda,,,52.245439,-8.429624,,(022) 25162,,,,https://www.garda.ie/garda/en/contact-us/station-directory/kildorrery.html,,,,
Killeagh,Garda,,,51.939762,-7.994963,,(024) 95112,,,,https://www.garda.ie/garda/en/contact-us/station-directory/killeagh.html,,,,
Kilworth,Garda,,,52.176253,-8.249569,,(025) 27101,,,,https://www.garda.ie/garda/en/contact-us/station-directory/kilworth.html,,,,
Liscarroll,Garda,,,52.259567,-8.806261,,(022) 48163,,,,https://www.garda.ie/garda/en/contact-us/station-directory/liscarroll.html,,,,
Mallow,24hr-Garda,,,52.13877,-8.64594,,(022) 31450,,,,https://www.garda.ie/garda/en/contact-us/station-directory/mallow.html,,,,24-Jul
Midleton,24hr-Garda,,,51.916681,-8.173526,,(021) 4621550,,,,https://www.garda.ie/garda/en/contact-us/station-directory/midleton.html,,,,24-Jul
Milford ,Co Cork,,,52.342465,-8.8564,,(063) 80002,,,,https://www.garda.ie/garda/en/contact-us/station-directory/milford-co-cork.html,,,,
Millstreet,Garda,,,52.060069,-9.061531,,"	(029) 70002",,,,https://www.garda.ie/garda/en/contact-us/station-directory/millstreet.html,,,,
Mitchelstown,Garda,,,52.263585,-8.270568,,(025) 84833,,,,https://www.garda.ie/garda/en/contact-us/station-directory/mitchelstown.html,,,,
Newmarket,Garda,,,52.214576,-8.99698,,(029) 60002,,,,https://www.garda.ie/garda/en/contact-us/station-directory/newmarket.html,,,,
Rathcormac,Garda,,,52.076086,-8.284331,,(025) 36102,,,,https://www.garda.ie/garda/en/contact-us/station-directory/rathcormac.html,,,,
Watergrasshill,Garda,,,52.013443,-8.342022,,(021) 4889102,,,,https://www.garda.ie/garda/en/contact-us/station-directory/watergrasshill.html,,,,
Whitegate,Garda,,,51.82707,-8.22781,,(021) 4661212,,,,https://www.garda.ie/garda/en/contact-us/station-directory/whitegate.html,,,,
Youghal,Garda,,,51.948069,-7.842754,,(024) 92200,,,,https://www.garda.ie/garda/en/contact-us/station-directory/youghal.html,,,,
Ballyvourney,Garda,,,51.945772,-9.169196,,(026) 45002,,,,https://www.garda.ie/garda/en/contact-us/station-directory/baile-bhuirne-ballyvourney-.html,,,,
Ballineen,Garda,,,51.73592,-8.948867,,(023) 8847111,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ballineen.html,,,,
Ballinhassig,Garda,,,51.804093,-8.570545,,(021) 4885102,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ballinhassig.html,,,,
Ballydehob,Garda,,,51.559116,-9.460782,,(028) 37111,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ballydehob.html,,,,
Ballydesmond,Garda,,,52.178235,-9.230971,,(064) 51102,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ballydesmond.html,,,,
Baltimore,Garda,,,51.483488,-9.372258,,(028) 20102,,,,https://www.garda.ie/garda/en/contact-us/station-directory/baltimore.html,,,,
Bandon,24hr-Garda,,,51.745084,-8.739863,,(023) 8852200,,,,https://www.garda.ie/garda/en/contact-us/station-directory/bandon.html,,,,24-Jul
Bantry,24hr-Garda,,,51.68027,-9.455239,,(027) 20860,,,,https://www.garda.ie/garda/en/contact-us/station-directory/bantry.html,,,,24-Jul
Ballingeary,Garda,,,51.851864,-9.228983,,(026) 47002,,,,https://www.garda.ie/garda/en/contact-us/station-directory/beal-atha-an-ghaorthaidh-ballingeary-.html,,,,
Boherbue,Garda,,,52.158972,-9.069752,,(029) 76002,,,,https://www.garda.ie/garda/en/contact-us/station-directory/boherbue.html,,,,
Castletownbere,Garda,,,51.649482,-9.914682,,(027) 70002,,,,https://www.garda.ie/garda/en/contact-us/station-directory/castletownbere.html,,,,
Castletownroche,Garda,,,52.170729,-8.467951,,(022) 26161,,,,https://www.garda.ie/garda/en/contact-us/station-directory/castletownroche.html,,,,
Clonakilty,24hr-Garda,,,51.624951,-8.888908,,(023) 8821570,,,,https://www.garda.ie/garda/en/contact-us/station-directory/clonakilty.html,,,,24-Jul
Coachford,Garda,,,51.909134,-8.791136,,(021) 7334002,,,,https://www.garda.ie/garda/en/contact-us/station-directory/coachford.html,,,,
Crookstown,Garda,,,51.858654,-8.801264,,(021) 7336002,,,,https://www.garda.ie/garda/en/contact-us/station-directory/crookstown.html,,,,
Drimoleague,Garda,,,51.659024,-9.263986,,(028) 31111,,,,https://www.garda.ie/garda/en/contact-us/station-directory/drimoleague.html,,,,
Drinish,Garda,,,51.64771,-9.154526,,(028) 30113,,,,https://www.garda.ie/garda/en/contact-us/station-directory/drinagh.html,,,,
Dunmanway,Garda,,,51.722827,-9.11014,,(023) 8845202,,,,https://www.garda.ie/garda/en/contact-us/station-directory/dunmanway.html,,,,
Durrus,Garda,,,51.620542,-9.523956,,(027) 61002,,,,https://www.garda.ie/garda/en/contact-us/station-directory/durrus.html,,,,
Glengarriff,Garda,,,51.750564,-9.55071,,(027) 63002,,,,https://www.garda.ie/garda/en/contact-us/station-directory/glengarriff.html,,,,
Innishannon,Garda,,,51.764428,-8.655438,,(021) 4775302,,,,https://www.garda.ie/garda/en/contact-us/station-directory/innishannon.html,,,,
Kealkill,Garda,,,51.755046,-9.375317,,(027) 20867,,,,https://www.garda.ie/garda/en/contact-us/station-directory/kealkill.html,,,,
Kilbrittain,Garda,,,51.673531,-8.690112,,(023) 8849666,,,,https://www.garda.ie/garda/en/contact-us/station-directory/kilbrittain.html,,,,
Kinsale,Garda,,,51.706322,-8.52548,,(021) 4772302,,,,https://www.garda.ie/garda/en/contact-us/station-directory/kinsale.html,,,,
Macroom,24hr-Garda,,,51.906268,-8.963996,,(026) 20590,,,,https://www.garda.ie/garda/en/contact-us/station-directory/macroom.html,,,,24-Jul
Rathmore,Garda,,,52.084275,-9.214231,,(074) 9158113,,,,https://www.garda.ie/garda/en/contact-us/station-directory/rathmore.html,,,,
Rosscarberry,Garda,,,51.577571,-9.031503,,(023) 8848162,,,,https://www.garda.ie/garda/en/contact-us/station-directory/rosscarberry.html,,,,
Schull,Garda,,,51.528718,-9.54136,,(028) 28111,,,,https://www.garda.ie/garda/en/contact-us/station-directory/schull.html,,,,
Skibbereen,Garda,,,51.548587,-9.264135,,(028) 23088,,,,https://www.garda.ie/garda/en/contact-us/station-directory/skibbereen.html,,,,
Stuake,Garda,,,51.990501,-8.760124,,(021) 7337032,,,,https://www.garda.ie/garda/en/contact-us/station-directory/stuake.html,,,,
Tarelton,Garda,,,51.838531,-8.992849,,(026) 46002,,,,https://www.garda.ie/garda/en/contact-us/station-directory/tarleton.html,,,,
Timoleague,Garda,,,51.642666,-8.766241,,(023) 8846122,,,,https://www.garda.ie/garda/en/contact-us/station-directory/timoleague.html,,,,
Bailieboro,24hr-Garda,,,53.915212,-6.96963,,(042) 9694570,,,,https://www.garda.ie/garda/en/contact-us/station-directory/bailieboro.html,,,,24-Jul
Ballyconnell,24hr-Garda,,,54.118998,-7.580204,,(049) 9525580,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ballyconnell.html,,,,24-Jul
Carrickmacross,24hr-Garda,,,53.976059,-6.718776,,(042) 9690190,,,,https://www.garda.ie/garda/en/contact-us/station-directory/carrickmacross.html,,,,24-Jul
Castleblayney,24hr-Garda,,,54.117858,-6.735032,,(042) 9740668,,,,https://www.garda.ie/garda/en/contact-us/station-directory/castleblayney.html,,,,24-Jul
Cavan,24hr-Garda,,,53.993329,-7.360879,,(049) 4368800,,,,https://www.garda.ie/garda/en/contact-us/station-directory/cavan.html,,,,24-Jul
Monaghan,24hr-Garda,,,54.25137,-6.967516,,(047) 77200,,,,https://www.garda.ie/garda/en/contact-us/station-directory/monaghan.html,,,,24-Jul
Ennis,24hr-Garda,,,52.84681,-8.98112,,(065) 6848100,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ennis.html,,,,24-Jul
Ennistymon,24hr-Garda,,,52.937394,-9.288537,,(065) 7072180,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ennistymon.html,,,,24-Jul
Kilrush,24hr-Garda,,,52.641064,-9.481077,,(065) 9080550,,,,https://www.garda.ie/garda/en/contact-us/station-directory/kilrush.html,,,,24-Jul
Shannon,24hr-Garda,,,52.707895,-8.877221,,(061) 365900,,,,https://www.garda.ie/garda/en/contact-us/station-directory/shannon.html,,,,24-Jul
Ballyshannon,24hr-Garda,,,54.498743,-8.204817,,(071) 9858530,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ballyshannon.html,,,,24-Jul
Buncrana,24hr-Garda,,,55.1315,-7.450711,,(074) 9320540,,,,https://www.garda.ie/garda/en/contact-us/station-directory/buncrana.html,,,,24-Jul
Donegal town,24hr-Garda,,,54.652423,-8.111061,,(074) 9740190,,,,https://www.garda.ie/garda/en/contact-us/station-directory/donegal-town.html,,,,24-Jul
Letterkenny,24hr-Garda,,,54.954697,-7.736422,,(074) 9167100,,,,https://www.garda.ie/garda/en/contact-us/station-directory/letterkenny.html,,,,24-Jul
Milford,24hr-Garda,,,55.08699,-7.698108,,(074) 9153060,,,,https://www.garda.ie/garda/en/contact-us/station-directory/milford-co-donegal.html,,,,24-Jul
Balbriggan,24hr-Garda,,,53.61433,-6.191172,,(01) 8020510,,,,https://www.garda.ie/garda/en/contact-us/station-directory/balbriggan.html,,,,24-Jul
Ballyfermot,24hr-Garda,,,53.34476,-6.357991,,(01) 6667200,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ballyfermot.html,,,,24-Jul
Ballymun,24hr-Garda,,,53.394531,-6.26371,,(01) 6664400,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ballymun.html,,,,24-Jul
Blackrock,24hr-Garda,,,53.299805,-6.177504,,(01) 6665200,,,,https://www.garda.ie/garda/en/contact-us/station-directory/blackrock-dublin.html,,,,24-Jul
Blanchardstown,24hr-Garda,,,53.38992,-6.380975,,(01) 6667000,,,,https://www.garda.ie/garda/en/contact-us/station-directory/blanchardstown.html,,,,24-Jul
Bridewell,24hr-Garda,,,53.34708,-6.27413,,(01) 6668200,,,,https://www.garda.ie/garda/en/contact-us/station-directory/bridewell-dublin.html,,,,24-Jul
Cabinteely,24hr-Garda,,,53.260789,-6.150651,,(01) 6665400,,,,https://www.garda.ie/garda/en/contact-us/station-directory/cabinteely.html,,,,24-Jul
Clondalkin,24hr-Garda,,,53.323146,-6.394958,,(01) 6667600,,,,https://www.garda.ie/garda/en/contact-us/station-directory/clondalkin.html,,,,24-Jul
Clontarf,24hr-Garda,,,53.363544,-6.220152,,(01) 6664800,,,,https://www.garda.ie/garda/en/contact-us/station-directory/clontarf.html,,,,24-Jul
Coolock,24hr-Garda,,,53.390335,-6.201099,,(01) 6664200,,,,https://www.garda.ie/garda/en/contact-us/station-directory/coolock.html,,,,24-Jul
Crumlin,24hr-Garda,,,53.319567,-6.315017,,(01) 6666200,,,,https://www.garda.ie/garda/en/contact-us/station-directory/crumlin.html,,,,24-Jul
Dublin Airport,24hr-Garda,,,53.429782,-6.24501,,(01) 6664950,,,,https://www.garda.ie/garda/en/contact-us/station-directory/dublin-airport.html,,,,24-Jul
Dun Laoghaire,24hr-Garda,,,53.289915,-6.133347,,(01) 6665000,,,,https://www.garda.ie/garda/en/contact-us/station-directory/dun-laoghaire.html,,,,24-Jul
Dundrum,24hr-Garda,,,53.289544,-6.242572,,(01) 6665600,,,,https://www.garda.ie/garda/en/contact-us/station-directory/dundrum-dublin.html,,,,24-Jul
Finglas,24hr-Garda,,,53.389651,-6.306919,,(01) 6667500,,,,https://www.garda.ie/garda/en/contact-us/station-directory/finglas.html,,,,24-Jul
Fitzgibbon Street,24hr-Garda,,,53.357735,-6.255359,,(01) 6668400,,,,https://www.garda.ie/garda/en/contact-us/station-directory/fitzgibbon-street.html,,,,24-Jul
Irishtown,24hr-Garda,,,53.338063,-6.22304,,(01) 6669600,,,,https://www.garda.ie/garda/en/contact-us/station-directory/irishtown.html,,,,24-Jul
Kevin Street,24hr-Garda,,,53.338982,-6.270248,,(01) 6669400,,,,https://www.garda.ie/garda/en/contact-us/station-directory/kevin-street.html,,,,24-Jul
Kilmainham,24hr-Garda,,,53.341869,-6.304273,,(01) 6669700,,,,https://www.garda.ie/garda/en/contact-us/station-directory/kilmainham.html,,,,24-Jul
Lucan,24hr-Garda,,,53.356052,-6.45068,,(01) 6667300,,,,https://www.garda.ie/garda/en/contact-us/station-directory/lucan.html,,,,24-Jul
Mountjoy,24hr-Garda,,,53.360484,-6.266825,,(01) 6668600,,,,https://www.garda.ie/garda/en/contact-us/station-directory/mountjoy.html,,,,24-Jul
Pearse Street,24hr-Garda,,,53.345702,-6.256269,,(01) 6669000,,,,https://www.garda.ie/garda/en/contact-us/station-directory/pearse-street.html,,,,24-Jul
Raheny,24hr-Garda,,,53.378983,-6.177986,,(01) 6664300,,,,https://www.garda.ie/garda/en/contact-us/station-directory/raheny.html,,,,24-Jul
Rathfarnham,24hr-Garda,,,53.297388,-6.28815,,(01) 6666500,,,,https://www.garda.ie/garda/en/contact-us/station-directory/rathfarnham.html,,,,24-Jul
Rathmines,24hr-Garda,,,53.321317,-6.267004,,(01) 6666700,,,,https://www.garda.ie/garda/en/contact-us/station-directory/rathmines.html,,,,24-Jul
Ronanstown,24hr-Garda,,,53.337899,-6.406023,,(01) 6667700,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ronanstown.html,,,,24-Jul
Shankill,24hr-Garda,,,53.233524,-6.121017,,(01) 6665900,,,,https://www.garda.ie/garda/en/contact-us/station-directory/shankill.html,,,,24-Jul
Store Street,24hr-Garda,,,53.350455,-6.252246,,(01) 6668000,,,,https://www.garda.ie/garda/en/contact-us/station-directory/store-street.html,,,,24-Jul
Swords,24hr-Garda,,,53.456023,-6.221116,,(01) 6664700,,,,https://www.garda.ie/garda/en/contact-us/station-directory/swords.html,,,,24-Jul
Tallaght,24hr-Garda,,,53.286801,-6.367838,,(01) 6666000,,,,https://www.garda.ie/garda/en/contact-us/station-directory/tallaght.html,,,,24-Jul
Ballinasloe,24hr-Garda,,,53.328431,-8.223624,,(090) 9631890,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ballinasloe.html,,,,24-Jul
Clifden,24hr-Garda,,,53.488185,-10.009242,,(095) 22500,,,,https://www.garda.ie/garda/en/contact-us/station-directory/clifden.html,,,,24-Jul
Galway,24hr-Garda,,,53.271404,-9.057489,,(091) 538000,,,,https://www.garda.ie/garda/en/contact-us/station-directory/gaillimh-galway-.html,,,,24-Jul
Gort,24hr-Garda,,,53.067434,-8.818184,,(091) 636400,,,,https://www.garda.ie/garda/en/contact-us/station-directory/gort.html,,,,24-Jul
Loughrea,24hr-Garda,,,53.197374,-8.569948,,(091) 842870,,,,https://www.garda.ie/garda/en/contact-us/station-directory/loughrea.html,,,,24-Jul
Salthill,24hr-Garda,,,53.258788,-9.079714,,(091) 514720,,,,https://www.garda.ie/garda/en/contact-us/station-directory/salthill.html,,,,24-Jul
Tuam,24hr-Garda,,,53.515662,-8.855884,,(093) 70840,,,,https://www.garda.ie/garda/en/contact-us/station-directory/tuam.html,,,,24-Jul
Caherciveen,24hr-Garda,,,51.946966,-10.219832,,(066) 9473600,,,,https://www.garda.ie/garda/en/contact-us/station-directory/caherciveen.html,,,,24-Jul
Killarney,24hr-Garda,,,52.062403,-9.512388,,(064) 6671160,,,,https://www.garda.ie/garda/en/contact-us/station-directory/killarney.html,,,,24-Jul
Listowel,24hr-Garda,,,52.447132,-9.483916,,(068) 50820,,,,https://www.garda.ie/garda/en/contact-us/station-directory/listowel.html,,,,24-Jul
Tralee,24hr-Garda,,,52.269488,-9.708839,,(066) 7102300,,,,https://www.garda.ie/garda/en/contact-us/station-directory/tralee.html,,,,24-Jul
Kildare,24hr-Garda,,,53.156035,-6.907264,,(045) 527730,,,,https://www.garda.ie/garda/en/contact-us/station-directory/kildare.html,,,,24-Jul
Leixlip,24hr-Garda,,,53.367378,-6.49825,,(01) 6667800,,,,https://www.garda.ie/garda/en/contact-us/station-directory/leixlip.html,,,,24-Jul
Naas,24hr-Garda,,,53.210722,-6.666007,,(045) 884300,,,,https://www.garda.ie/garda/en/contact-us/station-directory/naas.html,,,,24-Jul
Newbridge,24hr-Garda,,,53.181435,-6.795531,,(045) 440180,,,,https://www.garda.ie/garda/en/contact-us/station-directory/newbridge.html,,,,24-Jul
Carlow,24hr-Garda,,,52.840527,-6.929317,,(059) 9136620,,,,https://www.garda.ie/garda/en/contact-us/station-directory/carlow.html,,,,24-Jul
Kilkenny,24hr-Garda,,,52.65244,-7.259723,,(056) 7775000,,,,https://www.garda.ie/garda/en/contact-us/station-directory/kilkenny.html,,,,24-Jul
Thomastown,24hr-Garda,,,52.528949,-7.140031,,(056) 7754150,,,,https://www.garda.ie/garda/en/contact-us/station-directory/thomastown.html,,,,24-Jul
Abbeyleix,24hr-Garda,,,52.912735,-7.343784,,(057) 8730580,,,,https://www.garda.ie/garda/en/contact-us/station-directory/abbeyleix.html,,,,24-Jul
Birr,24hr-Garda,,,53.096052,-7.911523,,(057) 9169710,,,,https://www.garda.ie/garda/en/contact-us/station-directory/birr.html,,,,24-Jul
Portlaoise,24hr-Garda,,,53.03165,-7.303082,,(057) 8674100,,,,https://www.garda.ie/garda/en/contact-us/station-directory/portlaoise.html,,,,24-Jul
Tullamore,24hr-Garda,,,53.276055,-7.494906,,(057) 9327600,,,,https://www.garda.ie/garda/en/contact-us/station-directory/tullamore.html,,,,24-Jul
Askeaton,24hr-Garda,,,52.600208,-8.978285,,(061) 601630,,,,https://www.garda.ie/garda/en/contact-us/station-directory/askeaton.html,,,,24-Jul
Bruff,24hr-Garda,,,52.47733,-8.546975,,(061) 382940,,,,https://www.garda.ie/garda/en/contact-us/station-directory/bruff.html,,,,24-Jul
Limerick,24hr-Garda,,,52.66164,-8.631345,,(061) 212400,,,,https://www.garda.ie/garda/en/contact-us/station-directory/henry-street.html,,,,24-Jul
Newcastle West,24hr-Garda,,,52.453746,-9.062395,,(069) 20650,,,,https://www.garda.ie/garda/en/contact-us/station-directory/newcastlewest.html,,,,24-Jul
Limerick,24hr-Garda,,,52.650763,-8.61491,,(061) 214340,,,,https://www.garda.ie/garda/en/contact-us/station-directory/roxboro-road.html,,,,24-Jul
Drogheda,24hr-Garda,,,53.715056,-6.356643,,(041) 9874200,,,,https://www.garda.ie/garda/en/contact-us/station-directory/drogheda.html,,,,24-Jul
Drumad,24hr-Garda,,,54.095768,-6.360793,,(042) 9358680,,,,https://www.garda.ie/garda/en/contact-us/station-directory/drumad.html,,,,24-Jul
Dundalk,24hr-Garda,,,53.999499,-6.409665,,(042) 9388400,,,,https://www.garda.ie/garda/en/contact-us/station-directory/dundalk.html,,,,24-Jul
Ballina,24hr-Garda,,,54.112854,-9.160445,,(096) 20560,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ballina.html,,,,24-Jul
Belmullet,24hr-Garda,,,54.221746,-9.985584,,(097) 81910,,,,https://www.garda.ie/garda/en/contact-us/station-directory/beal-an-mhuirthead-belmullet-.html,,,,24-Jul
Castlebar,24hr-Garda,,,53.853436,-9.297628,,(094) 9038200,,,,https://www.garda.ie/garda/en/contact-us/station-directory/castlebar.html,,,,24-Jul
Claremorris,24hr-Garda,,,53.722297,-9.000249,,(094) 9372080,,,,https://www.garda.ie/garda/en/contact-us/station-directory/claremorris.html,,,,24-Jul
Swinford,24hr-Garda,,,53.940637,-8.952211,,(094) 9252990,,,,https://www.garda.ie/garda/en/contact-us/station-directory/swinford.html,,,,24-Jul
Westport,24hr-Garda,,,53.79907,-9.519437,,(098) 50230,,,,https://www.garda.ie/garda/en/contact-us/station-directory/westport.html,,,,24-Jul
Ashbourne,24hr-Garda,,,53.511375,-6.396999,,(01) 8010600,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ashbourne.html,,,,24-Jul
Kells,24hr-Garda,,,53.728408,-6.881215,,(046) 9280820,,,,https://www.garda.ie/garda/en/contact-us/station-directory/kells.html,,,,24-Jul
Navan,24hr-Garda,,,53.654517,-6.690418,,(046) 9079930,,,,https://www.garda.ie/garda/en/contact-us/station-directory/navan.html,,,,24-Jul
Trim,24hr-Garda,,,53.553114,-6.789303,,(046) 9481540,,,,https://www.garda.ie/garda/en/contact-us/station-directory/trim.html,,,,24-Jul
Boyle,24hr-Garda,,,53.97337,-8.300395,,(071) 9664620,,,,https://www.garda.ie/garda/en/contact-us/station-directory/boyle.html,,,,24-Jul
Castlerea,24hr-Garda,,,53.766632,-8.484061,,(094) 9621630,,,,https://www.garda.ie/garda/en/contact-us/station-directory/castlerea.html,,,,24-Jul
Granard,24hr-Garda,,,53.778552,-7.494222,,(043) 6687660,,,,https://www.garda.ie/garda/en/contact-us/station-directory/granard.html,,,,24-Jul
Longford,24hr-Garda,,,53.73251,-7.80138,,(043) 3350570,,,,https://www.garda.ie/garda/en/contact-us/station-directory/longford.html,,,,24-Jul
Mayo/Roscommon/Longford,24hr-Garda,,,53.629842,-8.193576,,(090) 6638300,,,,https://www.garda.ie/garda/en/contact-us/station-directory/roscommon.html,,,,24-Jul
Ballymote,24hr-Garda,,,54.087429,-8.515224,,(071) 9189500,,,,https://www.garda.ie/garda/en/contact-us/station-directory/ballymote.html,,,,24-Jul
Carrick-on-Shannon,24hr-Garda,,,53.944337,-8.09015,,(071) 9650510,,,,https://www.garda.ie/garda/en/contact-us/station-directory/carrick-on-shannon.html,,,,24-Jul
Manorhamilton,24hr-Garda,,,54.304359,-8.178512,,(071) 9820620,,,,https://www.garda.ie/garda/en/contact-us/station-directory/manorhamilton.html,,,,24-Jul
Sligo,24hr-Garda,,,54.269256,-8.471265,,(071) 9157000,,,,https://www.garda.ie/garda/en/contact-us/station-directory/sligo.html,,,,24-Jul
Cahir,24hr-Garda,,,52.375972,-7.920298,,(052) 7445630,,,,https://www.garda.ie/garda/en/contact-us/station-directory/cahir.html,,,,24-Jul
Clonmel,24hr-Garda,,,52.354092,-7.699937,,(052) 6177640,,,,https://www.garda.ie/garda/en/contact-us/station-directory/clonmel.html,,,,24-Jul
Nenagh,24hr-Garda,,,52.864279,-8.199582,,(067) 50450,,,,https://www.garda.ie/garda/en/contact-us/station-directory/nenagh.html,,,,24-Jul
Roscrea,24hr-Garda,,,52.956163,-7.798782,,(0505) 21700,,,,https://www.garda.ie/garda/en/contact-us/station-directory/roscrea.html,,,,24-Jul
Templemore,24hr-Garda,,,52.796632,-7.835087,,(0504) 32630,,,,https://www.garda.ie/garda/en/contact-us/station-directory/templemore.html,,,,24-Jul
Thurles,24hr-Garda,,,52.675712,-7.8119,,(0504) 25100,,,,https://www.garda.ie/garda/en/contact-us/station-directory/thurles.html,,,,24-Jul
Tipperary Town,24hr-Garda,,,52.476051,-8.162901,,(062) 80670,,,,https://www.garda.ie/garda/en/contact-us/station-directory/tipperary-town.html,,,,24-Jul
Dungarvan,24hr-Garda,,,52.087691,-7.624475,,(058) 48600,,,,https://www.garda.ie/garda/en/contact-us/station-directory/dungarvan.html,,,,24-Jul
Tramore,24hr-Garda,,,52.161475,-7.153412,,(051) 391620,,,,https://www.garda.ie/garda/en/contact-us/station-directory/tramore.html,,,,24-Jul
Waterford,24hr-Garda,,,52.260269,-7.115254,,(051) 305300,,,,https://www.garda.ie/garda/en/contact-us/station-directory/waterford.html,,,,24-Jul
Athlone,24hr-Garda,,,53.423248,-7.944738,,(090) 6492600,,,,https://www.garda.ie/garda/en/contact-us/station-directory/athlone.html,,,,24-Jul
Mullingar,24hr-Garda,,,53.525701,-7.345952,,(044) 9384000,,,,https://www.garda.ie/garda/en/contact-us/station-directory/mullingar.html,,,,24-Jul
