name,type,eircode,address,lat,lng,email,phone,contact1,contact2,contact3,link,sourceId,,,,
Bushmount Nursing Home,NURSE,,Bushmount Nursing Home Bushmount Clonakilty Co. Cork Cork,51.6208,-8.8998,,,,,,NA,,,,,Cork
Cahereen Care Centre,NURSE,,Cahereen Care Centre Codrum Macroom Co. Cork Cork,51.90672,-8.99652,cahereenrescare@eircom.net,026-41280,,,,NA,,,,,Cork
Cara House,NURSE,,Cara House Market Street Skibbereen Co Cork Cork,51.54826,-9.26438,,,,,,NA,,,,,Cork
Carechoice Ballynoe,NURSE,,Carechoice Ballynoe White's Cross Co. Cork Cork,51.94287,-8.45413,ballynoe@carechoice.ie,021 4300534,,,,https://www.carechoice.ie,,,,,Cork
Carechoice Brookfield,NURSE,,"Leamlara,  Co. Cork.  T56 YX21",,,hr@brookfieldcc.ie,021-4642642,,,,https://www.carechoice.ie,,,,,Cork
Carechoice Clonakilty,NURSE,,Carechoice Clonakilty Clogheen Clonakilty Co. Cork Cork,51.61809,-8.90529,clonakilty@carechoice.ie,023 883 6300,,,,https://www.carechoice.ie,,,,,Cork
Carechoice Macroom,NURSE,,Carechoice Macroom Gurteenroe Macroom Co. Cork Cork,51.90746,-8.97601,macroom@carechoice.ie,026 42366,,,,https://www.carechoice.ie,,,,,Cork
Carechoice Montenotte,NURSE,,Carechoice Montenotte Middle Glanmire Road Montenotte Cork Cork,51.90679,-8.4429,montenotte@carechoice.ie,021 486 1777,,,,https://www.carechoice.ie,,,,,Cork
Castletownbere Community Hospital,NURSE,,Castletownbere Community Hospital Castletownbere Co. Cork Cork,51.65597,-9.91146,,,,,,NA,,,,,Cork
Clonakilty Community Hospital,NURSE,,Clonakilty Community Hospital Clonakilty Co. Cork Cork,51.62378,-8.88525,,,,,,NA,,,,,Cork
Cobh Community Hospital,NURSE,,Cobh Community Hospital Cobh Co. Cork Cork,51.85511,-8.29942,cobh.hospital@ireland.com,021 4811345,,,,NA,,,,,Cork
Cois Abhainn Residential Centre,NURSE,,Cois Abhainn Residential Centre Greencloyne Youghal Co. Cork Cork,51.96181,-7.86095,,,,,,NA,,,,,Cork
Conna Nursing Home,NURSE,,Conna Nursing Home Conna Mallow Co. Cork Cork,52.09354,-8.10715,connanursinghome@gmail.com,086 1806335,,,,https://www.connanursinghome.ie,,,,,Cork
Corpus Christi Nursing Home,NURSE,,Corpus Christi Nursing Home Brigown Mitchelstown Co. Cork Cork,52.26264,-8.26894,corpuschristinh@eircom.net,025-84844,,,,NA,,,,,Cork
Cramers Court Nursing Home,NURSE,,Cramer's Court Nursing Home Belgooly Kinsale Co. Cork Cork,51.73628,-8.481,info@cramerscourt.com,021-4770721,,,,https://www.cramerscourt.com/,,,,,Cork
Darraglynn Nursing Home,NURSE,,Darraglynn Nursing Home Carrigaline Road Douglas Cork Cork,51.86662,-8.42736,darraglynn1@eircom.net,021-4364722,,,,NA,,,,,Cork
Deerpark House,NURSE,,Deerpark House Nursing Home Seafield Bantry Co. Cork Cork,51.67932,-9.46046,info@deerparkhouse.ie,027 52711,,,,https://www.deerparkhouse.ie/,,,,,Cork
Douglas Nursing and Retirement Home,NURSE,,Douglas Nursing and Retirement Home Moneygourney Douglas Cork Cork,51.8612,-8.40221,david@douglasnursinghome.ie,021 4364264,,,,https://www.douglasnursinghome.ie,,,,,Cork
Dunmanway Community Hospital,NURSE,,Dunmanway Community Hospital Dunmanway Co. Cork Cork,51.7224,-9.1133,,,,,,NA,,,,,Cork
East Ferry House Nursing Home,NURSE,,East Ferry House Nursing Home East Ferry Midleton Co. Cork Cork,51.85907,-8.20837,annepatrica_wilson@hotmail.com,021-4652538,,,,NA,,,,,Cork
Fairfield Nursing Home,NURSE,,Fairfield Nursing Home Quarry Road Drimoleague Co. Cork Cork,51.66157,-9.25984,fairfielddrimoleague@eircom.net,028-31881,,,,NA,,,,,Cork
Farranlea House Community Nursing Unit,NURSE,,Farranlea House CNU Farranlea Road Wilton Cork Cork,51.892,-8.51583,,,,,,NA,,,,,Cork
Fermoy Community Hospital,NURSE,,Fermoy Community Hospital Tallow Road Fermoy Co. Cork Cork,52.13961,-8.25671,,,,,,NA,,,,,Cork
Glanmire Residential Care Ltd.,NURSE,,Glanmire Residential Care Ltd. Glyntown Glanmire Co. Cork Cork,51.92434,-8.38829,,,,,,NA,,,,,Cork
Glendonagh Residential Home,NURSE,,Glendonagh Residential Home Dungourney Midleton Co Cork Cork,51.97896,-8.09535,info@glendonaghnursinghome.ie,021 466 8327,,,,https://www.glendonaghnursinghome.ie,,,,,Cork
Glyntown Care Centre,NURSE,,"Glyntown, Glanmire, Co. Cork ",,,info@glyntowncare.ie,021 482 1500,,,,https://www.glyntowncare.ie,,,,,Cork
Grange Con Nursing Home,NURSE,,Grange Con Nursing Home Coolatanavally Carrigrohane Co. Cork Cork,51.91773,-8.61179,grangecon@gmail.com,021-4385479,,,,NA,,,,,Cork
Haven Bay Care Centre,NURSE,,Haven Bay Care Centre Ballinacubby Kinsale Co. Cork Cork,51.70368,-8.53223,info@havenbay.ie,021-4777328,,,,https://www.havenbay.ie,,,,,Cork
Heather House Community Nursing Unit,NURSE,,Heather House Community Nursing Unit St Marys Orthopaedic Hospital Gurranabraher Cork Cork,51.90497,-8.49722,,,,,,NA,,,,,Cork
Kanturk Community Hospital,NURSE,,Kanturk Community Hospital Kanturk Co. Cork Cork,52.17746,-8.9065,,,,,,NA,,,,,Cork
Kinsale Community Hospital,NURSE,,Kinsale Community Hospital Kinsale Co. Cork Cork,51.70667,-8.52358,,,,,,NA,,,,,Cork
Macroom Community Hospital,NURSE,,Macroom Community Hospital Macroom Co. Cork Cork,51.90537,-8.96064,,,,,,NA,,,,,Cork
Maryborough Nursing Home,NURSE,,Maryborough Nursing Home Maryborough Hill Douglas Cork Cork,51.86254,-8.41135,office@maryboroughnh.com,021-4891586,,,,https://www.maryboroughnh.com,,,,,Cork
Midleton Community Hospital,NURSE,,Midleton Community Hospital Midleton Co. Cork Cork,51.91399,-8.17283,,,,,,NA,,,,,Cork
Mount Alvernia Hospital,NURSE,,Mount Alvernia Hospital Newberry Mallow Cork Cork,52.11099,-8.69231,,,,,,NA,,,,,Cork
Mount Cara,NURSE,,Mount Cara Redemption Road Blackpool Cork Cork,51.90734,-8.47879,,,,,,NA,,,,,Cork
Nazareth House,NURSE,,Nazareth House Dromahane Mallow Co Cork Cork,52.13816,-8.64936,nazarethmallow@eircom.net,022-21561,,,,NA,,,,,Cork
Norwood Grange,NURSE,,Norwood Grange Ballinora Waterfall Cork Cork,51.86355,-8.58119,norwoodgrange@gmail.com,021-4873291,,,,NA,,,,,Cork
Oaklodge Nursing Home,NURSE,,Oaklodge Nursing Home Churchtown South Cloyne Co. Cork Cork,51.82783,-8.08326,info@oaklodgenursinghome.ie,021 4646080,,,,https://www.oaklodgenursinghome.ie/,,,,,Cork
Padre Pio House Nursing Home,NURSE,,Padre Pio House Nursing Home Churchtown Mallow Co. Cork Cork,52.27209,-8.73031,padrepiorochestown@eircom.net,021-4841595,,,,NA,,,,,Cork
Padre Pio Nursing Home,NURSE,,Padre Pio Nursing Home Sunnyside Upper Rochestown Cork Cork,51.86811,-8.36977,padrepiorochestown@eircom.net,021-4841595,,,,NA,,,,,Cork
Powdermill Nursing Home,NURSE,,Powdermill Nursing Home Gunpowder Mill Ballincollig Co. Cork Cork,51.8929,-8.59188,powdermillnursing.home@gmail.com,021-4871184,,,,https://www.powdermillnursing.com,,,,,Cork
Rochestown Nursing Home,NURSE,,Rochestown Nursing Home Monastery Road Rochestown Co. Cork Cork,51.86793,-8.37052,rochestownnursinghome@yahoo.ie ,021-4841707,,,,NA,,,,,Cork
Rosenalee Care Centre Ltd.,NURSE,,Rosenalee Care Centre Poulavone Ballincollig Co. Cork Cork,51.88964,-8.57844,,,,,,NA,,,,,Cork
Skibbereen Community Hospital,NURSE,,Skibbereen Community Hospital Coolnagarrane Skibbereen Co. Cork Cork,51.56226,-9.26376,,,,,,NA,,,,,Cork
Skibbereen Residential Care Centre,NURSE,,Skibbereen Residential Care Centre Baltimore Road Skibbereen Co. Cork Cork,51.54294,-9.26908,,,,,,NA,,,,,Cork
St. Finbarr's Hospital,NURSE,,St. Finbarr's Hospital Douglas Road Cork Cork,51.88963,-8.46109,,,,,,NA,,,,,Cork
St. Gabriel's Community Hospital,NURSE,,St. Gabriel's Community Hospital Schull Cork Cork,51.52415,-9.55315,,,,,,NA,,,,,Cork
St. Joseph's Community Hospital,NURSE,,St. Joseph's Community Hospital Millstreet Co. Cork Cork,52.06063,-9.06209,,,,,,NA,,,,,Cork
St. Joseph's Hospital,NURSE,,St. Joseph's Hospital Bon Secours Care Village Mount Desert Lee Road Cork,51.89971,-8.53322,,,,,,NA,,,,,Cork
St. Joseph's Unit,NURSE,,St. Joseph's Unit Bantry General Hospital Bantry Co. Cork Cork,51.68058,-9.45121,,,,,,NA,,,,,Cork
St. Luke's Home,NURSE,,St. Luke's Home Castle Road Mahon Cork Cork,51.89804,-8.39919,info@stlukeshome.ie,021-4359444,,,,https://www.stlukeshome.ie,,,,,Cork
St. Martha's Nursing Home,NURSE,,St. Martha's Nursing Home Love Lane Charleville Co. Cork Cork,52.35666,-8.68808,adminstmarthas@ehg.ie,063-30750,,,,https://www.mowlamhealthcare.com/,,,,,Cork
St. Patricks Hospital Cork,NURSE,,St. Patrick's Hospital (Cork) Ltd. Curraheen Road Curraheen Cork Cork,51.90452,-8.46109,,,,,,NA,,,,,Cork
St.Stephens Unit 1,NURSE,,Unit 1 St Stephen's Hospital Sarsfield Court Glanmire Cork Cork,51.9543,-8.39981,,,,,,NA,,,,,Cork
Strawhall Nursing Home,NURSE,,Strawhall Nursing Home Strawhall Fermoy Co. Cork Cork,52.13824,-8.25744,strawhallnursinghome@eircom.net ,025-31678,,,,https://www.strawhallnursinghome.ie/,,,,,Cork
Teach Altra Nursing Home,NURSE,,Teach Altra Nursing Home Scarteen Newmarket Co. Cork Cork,52.21597,-9.00399,hello@teachaltranursinghome.ie,029-61166,,,,https://evergreencare.ie,,,,,Cork
Windmill House Nursing Home,NURSE,,Windmill House Nursing Home Churchtown Mallow Co. Cork Cork,52.27188,-8.72996,care@windmillhealthcare.ie,022 59067,,,,https://windmillhealthcare.ie,,,,,Cork
Youghal Community Hospital,NURSE,,Youghal Community Hospital Cork Hill Youghal Cork Cork,51.95602,-7.85624,,,,,,NA,,,,,Cork
Youghal and District Nursing Home,NURSE,,Youghal and District Nursing Home Gortroe Youghal Co. Cork Cork,51.93007,-7.91484,youghalnursinghome@eircom.net,024 90280,,,,https://www.youghalnursinghome.ie/,,,,,Cork
Aras Mhuire Nursing Home,NURSE,,Aras Mhuire Nursing Home Greenville Listowel Co. Kerry Kerry,52.44667,-9.49702,,,,,,NA,,,,,Kerry
Ashborough Lodge,NURSE,,Ashborough Lodge Lyre Road Milltown Co. Kerry Kerry,52.14056,-9.71766,,,,,,NA,,,,,Kerry
Caherciveen Community Hospital,NURSE,,Caherciveen Community Hospital Valentia Road Caherciveen Co. Kerry Kerry,51.94231,-10.23494,,,,,,NA,,,,,Kerry
Cuil Didin,NURSE,,Cuil Didin Skahanagh Tralee Co. Kerry Kerry,52.24649,-9.69065,,,,,,NA,,,,,Kerry
Heatherlee Nursing Home,NURSE,,Heatherlee Nursing Home Lawlor's Cross Tralee Road Killarney Kerry,52.11179,-9.51993,,,,,,NA,,,,,Kerry
Kenmare Community Nursing Unit- New Build,NURSE,,Hospital Road Kenmare Co. Kerry Kerry,51.88865,-9.58138,,,,,,NA,,,,,Kerry
Kenmare Nursing Home 'Tir na nOg',NURSE,,Kenmare Nursing Home 'Tir na nOg' Killaha East Kenmare Co. Kerry Kerry,51.86344,-9.60215,,,,,,NA,,,,,Kerry
Kilcara House Nursing Home,NURSE,,Kilcara House Nursing Home Kilcara Duagh Listowel Co. Kerry Kerry,52.41575,-9.39043,,,,,,NA,,,,,Kerry
"Killarney Community Hospitals (Fuschia, Hawthorn and Heather Wards)",NURSE,,"Killarney Community Hospitals (Fuschia, Hawthorn and Heather Wards) St. Margaret's Road Killarney Co. Kerry Kerry",52.06715,-9.51882,,,,,,NA,,,,,Kerry
Killarney Nursing Home,NURSE,,Killarney Nursing Home Rock Road Killarney Co. Kerry Kerry,52.06343,-9.51607,,,,,,NA,,,,,Kerry
Listowel Community Hospital,NURSE,,Listowel Community Hospital St. Joseph's Ward Listowel Co. Kerry Kerry,52.44714,-9.49797,,,,,,NA,,,,,Kerry
Lystoll Lodge Nursing Home,NURSE,,Lystoll Lodge Nursing Home Skehenerin Listowel Co. Kerry Kerry,52.44854,-9.44258,,,,,,NA,,,,,Kerry
Oaklands Nursing home,NURSE,,Oaklands Nursing Home Derry Listowel Co. Kerry Kerry,52.48217,-9.41978,,,,,,NA,,,,,Kerry
Ocean View Retirement and Nursing Home,NURSE,,Ocean View Retirement and Nursing Home Knockglassmore Camp Tralee Co. Kerry Kerry,52.22522,-9.89454,,,,,,NA,,,,,Kerry
Ospideal Pobail Chorca Dhuibhne (West Kerry Community Hospital),NURSE,,BÃƒÂ³thar an Phoist Daingean UÃƒÂ­ ChÃƒÂºis Co. ChiarraÃƒÂ­,52.14103,-10.26771,,,,,,NA,,,,,Kerry
Our Lady of Fatima Home,NURSE,,Our Lady of Fatima Home Oakpark Road Tralee Co. Kerry Kerry,52.28214,-9.68513,,,,,,NA,,,,,Kerry
Our Lady of Lourdes Care Facility,NURSE,,Our Lady of Lourdes Care Facility Kilcummin Village Killarney Co. Kerry Kerry,52.05035,-9.46115,,,,,,NA,,,,,Kerry
Riverside Nursing Home,NURSE,,Riverside Care Centre Milltown Abbeydorney Tralee Co. Kerry Kerry,52.34366,-9.69769,,,,,,NA,,,,,Kerry
St. Joseph's Home,NURSE,,St. Joseph's Home Killorglin Co. Kerry Kerry,52.10676,-9.78441,,,,,,NA,,,,,Kerry
St. Joseph's Nursing Home,NURSE,,St. Joseph's Nursing Home Derrymore East Tralee Co. Kerry Kerry,52.23939,-9.82902,,,,,,NA,,,,,Kerry
St. Joseph's Nursing Home,NURSE,,St. Joseph's Nursing Home Killowen Kenmare Co. Kerry Kerry,51.88453,-9.56756,,,,,,NA,,,,,Kerry
St. Louis Nursing Home,NURSE,,St. Louis Nursing Home Clonmore Tralee Co. Kerry Kerry,52.26673,-9.70074,,,,,,NA,,,,,Kerry
Tralee Community Nursing Unit,NURSE,,Tralee Community Nursing Unit Tralee Co. Kerry Kerry,52.26974,-9.70528,,,,,,NA,,,,,Kerry
Valentia Hospital,NURSE,,Valentia Hospital Valentia Island Co. Kerry Kerry,51.88972,-10.36715,,,,,,NA,,,,,Kerry
