name,type,eircode,address,lat,lng,email,phone,contact1,contact2,contact3,link,sourceId,,
IWA Tralee Charity Shop,WA,,4-5 Maine Street Tralee Co. Kerry,52.27132914,-9.707100574,Traleeshop@iwa.ie,085 870 5154  ,,,,https://www.iwa.ie/,,,
IWA Killarney,WA,,Killarney Reeks Gateway Unit 8 Ardnamweely Killarney Co Kerry V93 YP6P,52.06857039,-9.51749861,killarney@iwa.ie,064 6639395  ,,,,https://www.iwa.ie/,,,
IWA Listowel,WA,,3 Ballygalogue Road Listowel Co Kerry V31 CF43,52.44957122,-9.477068263,listowel@iwa.ie,068 24939,,,,https://www.iwa.ie/,,,
IWA Listowel Charity Shop,WA,,William Street Listowel Co. Kerry,52.44881423,-9.486057274,listowelshop@iwa.ie,085 870 5130  ,,,,https://www.iwa.ie/,,,
IWA Athy,WA,,Teach Emmanuel Woodstock North Athy Co Kildare R14 P038,52.99912559,-6.997043909,athy@iwa.ie,059 863 8529,,,,https://www.iwa.ie/,,,
IWA Clane,WA,,Ballinagappa Road Clane Co Kildare W91 YT99,53.29553036,-6.694434593,maats@iwa.ie,045893094,,,,https://www.iwa.ie/,,,
IWA Purcellinch,WA,,Unit 4 IDA Buisness Park Purcellsinch Kilkenny R95 PX5X,52.64588118,-7.211516009,,,,,,https://www.iwa.ie/,,,
IWA Kilkenny,WA,,Claddagh Court College Road Kilkenny R95 Y4DF,52.64651603,-7.253270078,,056 776 2775  ,,,,https://www.iwa.ie/,,,
IWA Portlaoise,WA,,Alvernia House St Fintans Hospital Dublin Rd Portlaoise Co. Laois R32YSW6,53.0359573,-7.28486123,laois@iwa.ie,057 869 4030 ,,,,https://www.iwa.ie/,,,
IWA Carrick on Shannon,WA,,Castlecarragh Road Attyfinlay Carrick on Shannon Co Leitrim N41 KF88,53.94707692,-8.074231216,drcckshannon@iwa.ie,071 962 0569  ,,,,https://www.iwa.ie/,,,
IWA Kinlough,WA,,Part time Location Please: Abbeyville Centre St Anne’s Sligo,54.39509221,-8.452490042,drcckshannon@iwa.ie,071 915 5522,,,,https://www.iwa.ie/,,,
IWA Limerick Regional Centre,WA,,Unit F1 LEDP Business Park Roxboro Limerick V94YH58,52.6481554,-8.615901917,limerick@iwa.ie,061 317234 ,,,,https://www.iwa.ie/,,,
IWA Longford,WA,,Kenagh Enterprise Centre Kenagh Co Longford W39W732,53.6263527,-7.818406588,kenagh@iwa.ie,043 332 2992 ,,,,https://www.iwa.ie/,,,
IWA Ardee Charity Shop,WA,,John Street Ardee Co. Louth,53.85252217,-6.545260205,ardeeshop@iwa.ie,085 870 5201 ,,,,https://www.iwa.ie/,,,
IWA Ardee / Louth,WA,,John Street Business Park Ardee Co Louth,53.85252217,-6.54527,ardee@iwa.ie,041 685 3046  ,,,,https://www.iwa.ie/,,,
IWA Drogheda,WA,,Unit 7 Mayoralty Street Drogheda Co Louth A92 YN76,53.71543884,-6.348282747,drogheda@iwa.ie,041 984 6614 ,,,,https://www.iwa.ie/,,,
IWA Castlebar,WA,,St. Anne’s Newport Road Castlebar Co. Mayo. F23 K683,53.85842587,-9.304950793,castlebar@iwa.ie,094 906 0937 ,,,,https://www.iwa.ie/,,,
IWA Belmullet,WA,,Logmore Belmullet Co Mayo F26VY42,54.21623763,-9.980025808,erris@iwa.ie,097 817 28 ,,,,https://www.iwa.ie/,,,
IWA Kells,WA,,Enterprise and Technology Centre Kells Business Park Kells Co. Meath A82E1C6,53.73977861,-6.908255847,,046-9072539  ,,,,https://www.iwa.ie/,,,
IWA Navan,WA,,3-4 Liscarton Villas Kells Road Navan Co Meath C15HP99,53.66095791,-6.724535062,navan@iwa.ie,046 907 2539,,,,https://www.iwa.ie/,,,
IWA Tullamore,WA,,Toberleheen / Ballinagar / Tullamore Co. Offaly R35NX09,53.2696696,-7.366176847,tullamore@iwa.ie,057 935 0065 ,,,,https://www.iwa.ie/,,,
IWA Roscommon,WA,,Unit 1 Corraun Park Racecourse Road Roscommon F42 KF98,53.64232091,-8.210239301,,087 662 2366 ,,,,https://www.iwa.ie/,,,
IWA Roscommon Charity Shop,WA,,Augustine House Circular Road Co. Roscommon,53.62849162,-8.188111461,roscommonshop@iwa.ie,085 804 7700 ,,,,https://www.iwa.ie/,,,
IWA Sligo,WA,,IWA Sligo Abbeyville Centre St Anne’s Sligo F91 KH5X,54.26996537,-8.464837462,sligo@iwa.ie,071 915 5522 ,,,,https://www.iwa.ie/,,,
IWA Tipperary Town,WA,,Brodeen Cashel Road Tipperary Town Co Tipperary E34VY09,52.47670876,-8.146635241,tiptown@iwa.ie,062 527 44 ,,,,https://www.iwa.ie/,,,
IWA Tipperary Charity Shop,WA,,47 Main Street Tipperary Town Co. Tipperary,52.47359994,-8.163248961,tipptownshop@iwa.ie,085 870 5185 ,,,,https://www.iwa.ie/,,,
IWA Carrick On Suir,WA,,Part time: IWA Nano Nagle Centre Carrick On Suir Co Tipperary,52.48459713,-7.401427865,tiptown@iwa.ie,062 52744 ,,,,https://www.iwa.ie/,,,
IWA Cashel,WA,,Part Time: Our Ladys Hospital Cashel Co Tipperary,52.51427074,-7.888141703,tiptown@iwa.ie,062 52744 ,,,,https://www.iwa.ie/,,,
IWA Nenagh,WA,,Part Time Location please contact IWA Tipperary Town E34VY09,52.47655193,-8.146806902,tiptown@iwa.ie,062 52744 ,,,,https://www.iwa.ie/,,,
IWA Roscrea,WA,,IWA Roscrea Hannon House Abbey Street Roscrea Co Tipperary E53VX86,52.95287194,-7.800575148,tipperary@iwa.ie,050 523 229,,,,https://www.iwa.ie/,,,
IWA Waterford,WA,,Unit 1A Cleaboy Business Park Old Kilmeaden Road Waterford X91DEC4,52.25210802,-7.153167448,waterford@iwa.ie,058 246 45  ,,,,https://www.iwa.ie/,,,
IWA Dungarvan Shop,WA,,21 Mitchell Street Dungarvan Co Waterford,52.08841455,-7.623500876,dungarvanshop@iwa.ie,085 870 5175 ,,,,https://www.iwa.ie/,,,
IWA Athlone,WA,,Clonbrusk Resource Centre Coosan Road Athlone Co Westmeath N37 C1K2,53.43382398,-7.945339032,athlone@iwa.ie,090 647 1118 ,,,,https://www.iwa.ie/,,,
IWA Mullingar,WA,,Springfield Centre Devlin Road Mullingar Co Westmeath N91NP30,53.53394994,-7.324602247,mullingar@iwa.ie,044 934 7511 ,,,,https://www.iwa.ie/,,,
IWA Ballycanew,WA,,Ballycanew Gorey Co. Wexford,52.6113808,-6.305138909,wexford@iwa.ie,053 948 2522 ,,,,https://www.iwa.ie/,,,
IWA Enniscorthy Charity Shop,WA,,Mill Park Enniscorthy Co. Wexford Y21 E8W9,52.501064,-6.566432425,enniscorthyshop@iwa.ie,085 870 5128 ,,,,https://www.iwa.ie/,,,
IWA Gorey Charity Shop,WA,,Unit 1 & 2 Willow house Pearse Street Gorey Co. Wexford,52.67654368,-6.295325818,goreyshop@iwa.ie,085 808 4172  ,,,,https://www.iwa.ie/,,,
IWA Wexford Charity Shop,WA,,Unit 3 Donovan’s Wharf Crescent Quay Co. Wexford,52.33801042,-6.459952803,wexfordtownshop@iwa.ie,085 803 5404 ,,,,https://www.iwa.ie/,,,
IWA Wexford,WA,,Lochrann House Cinema Lane Wexford Co Wexford Y35VW13,"52.33827797943078, ",-6.46000684,wexford@iwa.ie,053 912 4578 ,,,,https://www.iwa.ie/,,,
IWA Enniscorthy,WA,,Ballycanew Gorey Co. Wexford Y25TO44,52.6135693,-6.305620748,wexford@iwa.ie,053 948 2522 ,,,,https://www.iwa.ie/,,,
IWA Arklow,WA,,ABEC Centre Kilbride Industrial Estate Kilbride Arklow Co Wicklow Y14 T44,52.81147573,-6.154950617,drcarklow@iwa.ie,040 291 311 ,,,,https://www.iwa.ie/,,,
