name,type,eircode,address,lat,lng,email,phone,contact1,contact2,contact3,link,sourceId,
Cork Memory Technology Resource Room,ALZ,,"MTRR, Grounds of St. Finbarr's Hospital Douglas Road Co. Cork",51.88731577,-8.460037088,Martina.Agar@hse.ie,0867871748 / 021 4923194,Martina Agar,,,https://alzheimer.ie/location/cork-memory-technology-resource-room/,,
"Assessment & Treatment Clinic, Cork",ALZ,,Assessment & Treatment Centre St. Finbarrs Hospital Douglas Road Cork City Co. Cork,51.88731577,-8.46005,,021 4923298,,,,https://alzheimer.ie/location/assessment-treatment-clinic-cork/,,
Bessboro Saturday Club,ALZ,,Bessboro Day Care Centre Bessboro Blackrock Co. Cork. T12 HF70,51.88674309,-8.408758133,jeremiah.foley@alzheimer.ie,085 856 5795,Jerry Foley,,,https://alzheimer.ie/location/bessboro-saturday-club/,,
Cork Day Care Centre,ALZ,,Bessboro Day Care Centre Bessboro Blackrock Co. Cork. T12 HF70,51.88669012,-8.409144371,Jeremiah.Foley@alzheimer.ie,021 497 2504 / 021 497 2505 / 021 497 2506,Jerry Foley,,,https://alzheimer.ie/location/cork-day-care-centre/,,
"Cork City, North & South Lee Home Care",ALZ,,Bessboro Day Care Centre Bessboro Blackrock Co. Cork. T12 HF70,51.88655768,-8.408801049,,021 497 2504,Cathy Hadden,,,https://alzheimer.ie/location/cork-city-north-south-lee-home-care/,,
Cork City Support Group,ALZ,,Bessboro Day Care Centre Bessboro Blackrock Co. Cork. T12 HF70,51.88623982,-8.408801049,vbradbury@alzheimer.ie / amurphy@alzheimer.ie,021 497 2504,Vanessa Bradbury,,,https://alzheimer.ie/location/cork-city-support-group/,,
Cork Carer Online Support Group,ALZ,,Bessboro Day Care Centre Bessboro Blackrock Co. Cork. T12 HF70,51.88623982,-8.408801049,amurphy@alzheimer.ie / vbradbury@alzheimer.ie,,Vanessa Bradbury,,,https://alzheimer.ie/location/cork-carer-online-support-group/,,
Carrigaline Alzheimer Café,ALZ,,Family Support Centre Church Road Carrigaline County Cork P43 FR80,51.81661925,-8.38740071,karen.fitzpatrick@alzheimer.ie,873487511,Karen Fitzpatrick,,,https://alzheimer.ie/location/cork-alzheimer-cafe/,,
West Cork Home Care,ALZ,,33 North Street Skibbereen County Cork P81NW63,51.55006738,-9.265983249,,086 883 0577,Michelle O'Shea,,,https://alzheimer.ie/location/west-cork-home-care/,,
Skibbereen Day Care,ALZ,,Skibbereen Day Care Cara house Market Street Skibbereen Co. Cork. P81 Y046,51.54876985,-9.264207388,,086 883 0577,Michelle O'Shea,,,https://alzheimer.ie/location/skibbereen-day-care/,,
West Cork Dementia Adviser,ALZ,,,,,vbradbury@alzheimer.ie,086 0218463,Vanessa Bradbury,,,https://alzheimer.ie/location/west-cork-dementia-adviser/,,
Bessboro/Midleton/Bandon Day Care at Home,ALZ,,,,,Jeremiah.Foley@alzheimer.ie / Karen.fitzpatrick@alzheimer.ie,021 4972504 / 085 8565795 (Jerry) / 087 3487511 (Karen,Jerry Foley/ Karen Fitzpatrick,,,https://alzheimer.ie/location/bessboro-midleton-bandon-day-care-at-home/,,
Age Action Care and Repair,ALZ,,,,,info@ageaction.ie,,,,,https://alzheimer.ie/location/age-action-care-and-repair-dublin/,,
Engaging Dementia Virtual Rainbow Cafe,ALZ,,,,,virtualcafe@engagingdementia.ie,,,,,https://alzheimer.ie/location/engaging-dementia-virtual-rainbow-cafe/,"The Rainbow Café is specifically for older LGBT+ persons, proactive allies, and healthcare professionals supporting older persons. ","The space is dementia-inclusive and those living with dementia, along with family carers and supporters, are encouraged to attend and will be assisted to do so in any way possible."
Singing for the Brain,ALZ,,,,,singing4thebrain@gmail.com,087 462 2216 (mornings),Mary,,,https://alzheimer.ie/location/singing-for-the-brain-youghal/,,
National Online Family Carer Support Groups,ALZ,,,ON-Line,,onlinesupportgroup@alzheimer.ie,1800 341 341,,,,https://alzheimer.ie/about-dementia/family-carer-training/,,
